Date,Price,Open,High,Low,Change %
Jun 10 2018,5.4912,5.2588,5.5347,5.2535,4.30%
Jun 03 2018,5.2650,5.4199,5.4688,5.2480,-2.92%
May 27 2018,5.4231,5.4862,5.5182,5.1664,-1.14%
May 20 2018,5.4859,5.2835,5.7646,5.2786,3.70%
May 13 2018,5.2901,5.1538,5.3233,5.1456,2.68%
May 06 2018,5.1521,5.0526,5.1787,5.0300,1.93%
Apr 29 2018,5.0543,4.9052,5.1350,4.8730,3.08%
Apr 22 2018,4.9032,5.0091,5.0288,4.8779,-2.12%
Apr 15 2018,5.0094,5.0469,5.1162,4.9536,-0.84%
Apr 08 2018,5.0518,4.9619,5.1920,4.9502,1.68%
Apr 01 2018,4.9684,4.8749,4.9779,4.8685,1.94%
Mar 25 2018,4.8738,4.9176,4.9646,4.8328,-0.93%
Mar 18 2018,4.9195,4.8148,4.9730,4.8023,2.20%
Mar 11 2018,4.8138,4.6849,4.8320,4.6845,2.63%
Mar 04 2018,4.6903,4.6929,4.7412,4.6763,0.02%
Feb 25 2018,4.6894,4.6572,4.7108,4.6265,0.64%
Feb 18 2018,4.6598,4.6513,4.7082,4.6425,0.23%
Feb 11 2018,4.6490,4.6835,4.7316,4.6419,-0.60%
Feb 04 2018,4.6769,4.6954,4.7100,4.6417,-0.54%
Jan 28 2018,4.7023,4.6662,4.7089,4.6485,0.83%
Jan 21 2018,4.6638,4.7104,4.7238,4.6184,0.25%
Jan 14 2018,4.6521,4.5704,4.6960,4.5682,1.84%
Jan 07 2018,4.5680,4.4907,4.5802,4.4752,1.61%
Dec 31 2017,4.4954,4.5512,4.5629,4.4920,-1.14%
Dec 24 2017,4.5473,4.5183,4.5651,4.4950,0.50%
Dec 17 2017,4.5249,4.5405,4.5577,4.5052,-0.31%
Dec 10 2017,4.5391,4.5178,4.6066,4.4926,0.51%
Dec 03 2017,4.5161,4.6512,4.6837,4.4982,-2.94%
Nov 26 2017,4.6531,4.7058,4.7209,4.6345,-1.10%
Nov 19 2017,4.7050,4.5711,4.7196,4.5255,2.88%
Nov 12 2017,4.5732,4.5166,4.6143,4.4803,1.47%
Nov 05 2017,4.5069,4.5141,4.5259,4.4328,-0.11%
Oct 29 2017,4.5118,4.3991,4.5174,4.3651,2.58%
Oct 22 2017,4.3985,4.3220,4.4963,4.3167,1.65%
Oct 15 2017,4.3270,4.2923,4.3433,4.2782,0.68%
Oct 08 2017,4.2976,4.2379,4.4264,4.2340,1.32%
Oct 01 2017,4.2417,4.2108,4.2527,4.1749,0.75%
Sep 24 2017,4.2101,4.1792,4.2218,4.1616,0.79%
Sep 17 2017,4.1773,4.1085,4.2016,4.0944,1.75%
Sep 10 2017,4.1055,4.1060,4.1329,4.0662,-0.01%
Sep 03 2017,4.1060,4.0636,4.1268,4.0569,0.99%
Aug 27 2017,4.0658,4.1067,4.1616,4.0491,-0.85%
Aug 20 2017,4.1006,4.1316,4.1417,4.0819,-0.91%
Aug 13 2017,4.1384,4.1787,4.1834,4.1060,-1.01%
Aug 06 2017,4.1808,4.1556,4.1912,4.1335,0.66%
Jul 30 2017,4.1532,4.1429,4.2120,4.1239,0.17%
Jul 23 2017,4.1460,4.1286,4.1695,4.1086,0.52%
Jul 16 2017,4.1245,4.0557,4.1356,4.0415,1.64%
Jul 09 2017,4.0578,4.1201,4.1550,4.0397,-1.63%
Jul 02 2017,4.1251,4.0205,4.1653,4.0040,2.53%
Jun 25 2017,4.0233,3.9300,4.0467,3.9057,2.43%
Jun 18 2017,3.9278,3.9226,3.9522,3.9019,0.14%
Jun 11 2017,3.9224,3.9588,3.9668,3.9052,-0.95%
Jun 04 2017,3.9602,3.9630,4.0061,3.9312,0.01%
May 28 2017,3.9598,4.0001,4.0079,3.9442,-1.03%
May 21 2017,4.0010,4.0094,4.0250,3.9744,-0.14%
May 14 2017,4.0068,3.9016,4.0522,3.8863,2.63%
May 07 2017,3.9043,3.8986,3.9527,3.8735,0.17%
Apr 30 2017,3.8976,3.8747,3.9294,3.8365,0.71%
Apr 23 2017,3.8702,3.9749,3.9804,3.8628,-0.89%
Apr 16 2017,3.9051,3.8619,3.9563,3.8461,-1.41%
Apr 09 2017,3.9609,3.9508,3.9674,3.8767,0.24%
Apr 02 2017,3.9513,3.8756,3.9869,3.8640,2.03%
Mar 26 2017,3.8726,3.8989,3.9661,3.8654,-0.70%
Mar 19 2017,3.9000,3.9026,3.9325,3.8761,-0.07%
Mar 12 2017,3.9026,3.9820,4.0086,3.8746,-1.96%
Mar 05 2017,3.9806,3.9314,4.0114,3.8763,1.19%
Feb 26 2017,3.9337,3.8096,3.9535,3.7881,3.25%
Feb 19 2017,3.8100,3.8535,3.8668,3.7630,-1.09%
Feb 12 2017,3.8519,3.9299,3.9381,3.8436,-2.04%
Feb 05 2017,3.9322,3.9870,4.0117,3.8958,-1.39%
Jan 29 2017,3.9875,4.1463,4.1600,3.9685,-3.88%
Jan 22 2017,4.1486,4.0241,4.1719,4.0111,2.94%
Jan 15 2017,4.0302,3.9527,4.0934,3.9459,1.70%
Jan 08 2017,3.9628,3.8413,4.1777,3.8319,3.23%
Jan 01 2017,3.8388,3.7165,3.8452,3.7011,3.48%
Dec 25 2016,3.7097,3.6787,3.7531,3.6579,0.88%
Dec 18 2016,3.6774,3.6627,3.6940,3.6347,0.34%
Dec 11 2016,3.6650,3.6801,3.7511,3.6433,-0.49%
Dec 04 2016,3.6829,3.7581,3.8084,3.6047,-1.94%
Nov 27 2016,3.7557,3.6534,3.8190,3.6162,2.92%
Nov 20 2016,3.6490,3.5724,3.6719,3.5604,2.11%
Nov 13 2016,3.5737,3.5231,3.6128,3.5067,1.22%
Nov 06 2016,3.5306,3.5162,3.6874,3.4713,0.39%
Oct 30 2016,3.5168,3.4102,3.5327,3.3889,3.03%
Oct 23 2016,3.4135,3.3542,3.4249,3.3382,1.78%
Oct 16 2016,3.3537,3.3899,3.4224,3.3289,-1.09%
Oct 09 2016,3.3906,3.4154,3.4383,3.3805,-0.79%
Oct 02 2016,3.4175,3.3697,3.4428,3.3670,1.37%
Sep 25 2016,3.3714,3.3319,3.3779,3.3277,1.21%
Sep 18 2016,3.3310,3.3236,3.3381,3.2945,0.15%
Sep 11 2016,3.3260,3.3354,3.3624,3.3173,-0.06%
