"Date","Price","Open","High","Low","Change %"
"Aug 12, 2018","7.6693","8.2081","9.2213","7.2110","-6.56%"
"Aug 05, 2018","8.2073","6.6087","8.6562","6.6087","24.17%"
"Jul 29, 2018","6.6098","6.3442","6.6635","6.3408","3.88%"
"Jul 22, 2018","6.3629","6.2994","6.4818","6.1951","1.08%"
"Jul 15, 2018","6.2947","6.4074","6.4612","6.2160","-2.04%"
"Jul 08, 2018","6.4257","6.0835","6.5668","6.0095","5.83%"
"Jul 01, 2018","6.0720","6.0469","6.2359","6.0385","0.21%"
"Jun 24, 2018","6.0590","6.1790","6.2583","5.9594","-2.38%"
"Jun 17, 2018","6.2066","6.2690","6.2979","6.1764","-1.23%"
"Jun 10, 2018","6.2842","5.9912","6.3101","5.9799","4.73%"
"Jun 03, 2018","6.0003","6.2030","6.2541","5.9626","-3.34%"
"May 27, 2018","6.2079","6.2658","6.2835","5.9046","-0.93%"
"May 20, 2018","6.2660","6.0512","6.5908","6.0463","3.54%"
"May 13, 2018","6.0519","5.8475","6.0707","5.8352","3.59%"
"May 06, 2018","5.8422","5.7180","5.9159","5.7044","2.16%"
"Apr 29, 2018","5.7188","5.5778","5.8183","5.5404","2.67%"
"Apr 22, 2018","5.5701","5.7146","5.7432","5.5552","-2.43%"
"Apr 15, 2018","5.7091","5.8334","5.9284","5.6542","-2.15%"
"Apr 08, 2018","5.8344","5.6998","5.9444","5.6866","2.35%"
"Apr 01, 2018","5.7002","5.5517","5.7114","5.5415","2.81%"
"Mar 25, 2018","5.5442","5.6317","5.6843","5.5128","-1.50%"
"Mar 18, 2018","5.6285","5.4606","5.6952","5.4499","3.08%"
"Mar 11, 2018","5.4603","5.2716","5.4763","5.2700","3.46%"
"Mar 04, 2018","5.2779","5.2481","5.3049","5.2465","0.42%"
"Feb 25, 2018","5.2557","5.2924","5.3188","5.2208","-0.73%"
"Feb 18, 2018","5.2943","5.2604","5.3365","5.2436","0.61%"
"Feb 11, 2018","5.2622","5.2848","5.3316","5.2416","-0.52%"
"Feb 04, 2018","5.2896","5.3266","5.3650","5.2270","-0.74%"
"Jan 28, 2018","5.3290","5.3183","5.3667","5.2903","0.16%"
"Jan 21, 2018","5.3206","5.3159","5.3609","5.2581","0.91%"
"Jan 14, 2018","5.2725","5.1486","5.2987","5.1456","2.46%"
"Jan 07, 2018","5.1461","5.0664","5.1646","5.0629","1.48%"
"Dec 31, 2017","5.0709","5.1243","5.1498","5.0533","-1.00%"
"Dec 24, 2017","5.1220","5.0949","5.1425","5.0592","0.46%"
"Dec 17, 2017","5.0988","5.1515","5.1655","5.0899","-0.89%"
"Dec 10, 2017","5.1444","5.1410","5.2360","5.0933","0.07%"
"Dec 03, 2017","5.1406","5.2771","5.3126","5.1232","-2.49%"
"Nov 26, 2017","5.2720","5.2597","5.3419","5.1863","0.23%"
"Nov 19, 2017","5.2599","5.1251","5.2794","5.0937","2.67%"
"Nov 12, 2017","5.1232","5.1041","5.1703","5.0377","0.53%"
"Nov 05, 2017","5.0962","5.0879","5.1278","5.0156","0.28%"
"Oct 29, 2017","5.0819","4.9756","5.0992","4.9395","2.17%"
